,I_XT,I_TY,Layer,Epochs
558,3.510937913005568,0.575826792113878,3,139
559,2.0899557980217454,0.5517476875514963,4,139
560,6.920686902313136,0.6931469493594913,1,140
561,6.492148519678391,0.618748130703372,2,140
562,3.542903135654442,0.5769677470797796,3,140
563,2.101825642556269,0.5541161949459482,4,140
564,6.920686902313136,0.6931469493594913,1,141
565,6.501313050377616,0.6184925221551499,2,141
566,3.5824873415617136,0.5801127280836337,3,141
567,2.1358644673187737,0.5606878831868662,4,141
568,6.920686902313136,0.6931469493594913,1,142
569,6.501414398919846,0.620159921750332,2,142
570,3.5874374184750657,0.5812522652674618,3,142
571,2.153969406358353,0.5716134088879509,4,142
572,6.920686902313136,0.6931469493594913,1,143
573,6.497556581780518,0.621795397338229,2,143
574,3.5921167204282423,0.5870813963944598,3,143
575,2.1451763885240447,0.5835023232247153,4,143
576,6.920686902313136,0.6931469493594913,1,144
577,6.492279522509796,0.6205090670906236,2,144
578,3.59685766946124,0.5807345904075503,3,144
579,2.154727542096119,0.5727477425498708,4,144
580,6.9193854882554096,0.6918455353017654,1,145
581,6.495007233685324,0.6234084966151034,2,145
582,3.618293926636343,0.5801080607932834,3,145
583,2.2007069799858394,0.5717171813537617,4,145
584,6.9193854882554096,0.6918455353017654,1,146
585,6.486441002607543,0.620410901110769,2,146
586,3.65181712567883,0.5827132248248854,3,146
587,2.2540665649773612,0.5667879779717387,4,146
588,6.919399146645532,0.6918591936918865,1,147
589,6.477681843693099,0.6215677630468884,2,147
590,3.654605725826463,0.58737156867816,3,147
591,2.2872948679269958,0.5766561976580464,4,147
592,6.919399146645532,0.6918591936918865,1,148
593,6.486692822730616,0.6299524283922012,2,148
594,3.711141686661143,0.5890427706390774,3,148
595,2.3190432318145358,0.5830377010957422,4,148
596,6.9194342901114005,0.6918943371577563,1,149
